qb_name,appearances,QB_comp_pct_L3,QB_comp_pct_L5,QB_dropbacks_L3,QB_dropbacks_L5,QB_int_rate_L3,QB_int_rate_L5,QB_qb_epa_per_play_L3,QB_qb_epa_per_play_L5,QB_sack_rate_L3,QB_sack_rate_L5,QB_success_rate_L3,QB_success_rate_L5,QB_ypa_L3,QB_ypa_L5,TEAM_comp_pct_L3,TEAM_comp_pct_L5,TEAM_dropbacks_L3,TEAM_dropbacks_L5,TEAM_int_rate_L3,TEAM_int_rate_L5,TEAM_qb_epa_per_play_L3,TEAM_qb_epa_per_play_L5,TEAM_sack_rate_L3,TEAM_sack_rate_L5,TEAM_success_rate_L3,TEAM_success_rate_L5,TEAM_ypa_L3,TEAM_ypa_L5,moneyline,qb_epa_per_play,qb_success_rate,rest,score,spread_odds
Sam Ehlinger,4,0.6382,0.6279,36.4444,36.1333,0.0132,0.0132,-0.0471,-0.0669,0.0818,0.0911,0.4477,0.4402,6.5745,6.6905,0.6164,0.6238,39.9167,41.9,0.0258,0.0273,-0.1306,-0.0808,0.0819,0.0793,0.4321,0.4458,5.8147,6.0572,32.5,-0.2133,0.369,7.0,16.5,0.5
Sam Howell,18,0.5456,0.5532,41.4314,41.7725,0.0316,0.0287,-0.0999,-0.0738,0.0981,0.1028,0.4167,0.4225,5.8819,6.047,0.55,0.5603,40.7407,41.1222,0.0346,0.0324,-0.1014,-0.0747,0.0962,0.0979,0.4195,0.4259,5.8568,6.0176,170.1667,-0.1302,0.4145,7.0,19.7222,-109.0
Sean Mannion,2,0.5714,0.5714,21.0,21.0,0.0952,0.0952,-0.124,-0.124,0.0,0.0,0.5,0.5,6.0,6.0,0.5916,0.6106,32.6667,35.4,0.0324,0.025,-0.0708,-0.0011,0.0631,0.0597,0.4163,0.4407,6.2567,6.7311,364.0,-0.197,0.4207,6.5,14.5,-108.0
Skylar Thompson,3,0.5418,0.5445,31.7778,31.6944,0.0285,0.0285,-0.1739,-0.1804,0.0481,0.0486,0.3492,0.362,4.7003,4.71,0.5703,0.5312,31.1111,32.5333,0.0503,0.042,-0.0981,-0.1019,0.0532,0.054,0.3723,0.3834,7.0154,6.6761,206.3333,-0.2676,0.2948,7.0,15.0,-110.0
Spencer Rattler,4,0.5065,0.5126,42.4444,42.7333,0.0272,0.0222,-0.2481,-0.2905,0.0917,0.1015,0.3956,0.3829,5.2497,5.1744,0.5771,0.6031,35.9167,32.85,0.0304,0.0308,-0.1254,0.026,0.0574,0.0487,0.4129,0.4243,5.5747,6.6241,298.5,-0.26,0.3697,6.5,16.0,-106.0
Tanner McKee,1,,,,,,,,,,,,,,,0.6332,0.5967,27.6667,26.4,0.0123,0.0074,0.3283,0.1897,0.0596,0.0834,0.483,0.4526,7.7051,6.6109,-155.0,0.1748,0.5116,7.0,20.0,-110.0
Taylor Heinicke,30,0.587,0.5898,35.4483,36.1218,0.0254,0.0251,-0.0042,-0.0087,0.0625,0.0628,0.4541,0.4527,6.4925,6.5055,0.5932,0.5937,35.8444,36.6533,0.0259,0.0275,0.0111,0.0019,0.0595,0.0594,0.45,0.4508,6.5431,6.4429,91.2667,-0.0143,0.4504,7.0,20.5,-107.0
Taysom Hill,9,0.5865,0.5994,35.1875,34.0292,0.0265,0.0211,-0.0671,-0.0616,0.0873,0.0893,0.4181,0.4171,6.5863,6.6018,0.575,0.5939,31.2963,33.8222,0.0232,0.0203,-0.1018,-0.0345,0.0754,0.0618,0.4193,0.441,6.1896,6.3195,-228.2222,-0.0141,0.4294,7.0,22.3333,-101.0
Taysom Kyler Murray,1,0.6262,0.6462,34.0,34.8,0.0295,0.0177,0.334,0.315,0.0786,0.0746,0.5768,0.5739,7.7137,7.6081,0.6822,0.66,32.6667,33.6,0.0152,0.0268,0.1143,0.1604,0.0675,0.0751,0.4805,0.5263,6.9623,7.3743,-373.0,0.5706,0.5455,14.0,33.0,-116.0
Teddy Bridgewater,38,0.6343,0.6347,36.375,36.2847,0.0159,0.0197,0.1182,0.1137,0.0566,0.057,0.4828,0.4812,6.8363,6.8215,0.6347,0.6347,37.1228,37.6842,0.0199,0.021,0.1252,0.1212,0.0548,0.0563,0.4854,0.4878,7.003,6.938,17.5526,0.0985,0.4759,7.0,21.2632,-104.0
Tim Boyle,7,0.6153,0.6228,32.4167,31.2583,0.0546,0.0591,-0.1858,-0.1807,0.0317,0.026,0.3697,0.3729,4.9031,4.9368,0.5626,0.5776,34.9524,35.4286,0.0192,0.0227,-0.1044,-0.1363,0.0978,0.0893,0.3943,0.4043,5.4071,5.5035,216.8571,-0.089,0.3938,7.0,16.1429,-106.0
Tom Brady,92,0.6285,0.628,41.2546,41.148,0.0144,0.0144,0.1739,0.1749,0.0335,0.0339,0.4949,0.495,6.9346,6.9405,0.6275,0.6277,41.3462,41.3722,0.0173,0.0176,0.1722,0.1757,0.0342,0.0347,0.4954,0.4973,6.964,7.0077,-329.5435,0.1707,0.4936,7.0,26.6739,-103.0
Tommy DeVito,11,0.5581,0.5562,35.7727,34.603,0.0273,0.027,-0.1768,-0.1709,0.1287,0.1325,0.3899,0.3888,5.5853,5.727,0.5373,0.5445,35.8485,35.2545,0.0218,0.0203,-0.1937,-0.2014,0.1224,0.1239,0.3854,0.3884,5.2244,5.1679,434.5455,-0.0337,0.3964,7.0,17.9091,-108.0
Trace McSorley,1,,,,,,,,,,,,,,,0.5841,0.6135,35.6667,37.2,0.0329,0.0251,-0.0906,-0.0527,0.0779,0.0721,0.3992,0.4069,5.0353,5.4201,273.0,-0.3558,0.2292,7.0,16.0,-113.0
Trevor Lawrence,62,0.6017,0.5992,38.6585,38.8776,0.0184,0.0214,0.0623,0.0565,0.051,0.0512,0.4829,0.4817,6.3954,6.3593,0.6038,0.6031,38.3978,38.4935,0.0206,0.0204,0.0654,0.0612,0.0536,0.0538,0.4824,0.4818,6.3993,6.3735,81.8871,0.0763,0.4842,7.0,20.5484,-108.5
Trevor Siemian,9,0.5413,0.5405,35.0,34.2771,0.0215,0.0141,-0.072,-0.0402,0.0436,0.0447,0.4045,0.4127,5.3568,5.4593,0.5522,0.5571,37.6296,35.6444,0.0177,0.0186,-0.0244,0.0128,0.0581,0.066,0.4327,0.4371,5.8155,6.0686,111.2222,-0.1888,0.3772,7.0,17.8889,-107.0
Trey Lance,5,0.5359,0.5492,30.875,31.7917,0.0364,0.0364,0.0081,0.0171,0.0536,0.0549,0.3971,0.4022,7.1704,7.3843,0.5967,0.6089,31.1333,31.4,0.0278,0.0298,0.0604,0.0981,0.0532,0.0526,0.4542,0.4629,6.9779,7.5422,-149.6,0.0917,0.4269,7.0,17.8,100.0
Tua Tagovailoa,63,0.6407,0.6389,35.9113,35.6355,0.018,0.0207,0.1505,0.1473,0.0519,0.0516,0.4976,0.4956,7.1504,7.1429,0.6379,0.6381,36.6455,36.3587,0.0185,0.0184,0.1511,0.1558,0.0545,0.0547,0.497,0.4961,7.0515,7.0717,-111.7143,0.1475,0.4973,7.0,24.7143,-110.0
Tyler Huntley,13,0.5941,0.5988,33.5833,34.9264,0.0161,0.0218,-0.0444,-0.0399,0.0687,0.0694,0.4077,0.4134,5.6836,5.6621,0.6123,0.6038,35.5897,37.2615,0.0229,0.022,0.0138,0.0273,0.0634,0.0669,0.4414,0.4478,6.2356,6.1874,3.3846,-0.0351,0.4001,7.0,15.4615,-110.0
Tyrod Taylor,15,0.5402,0.5314,38.6944,39.1181,0.0193,0.0192,-0.0735,-0.0559,0.0902,0.0899,0.4028,0.4071,5.7092,5.7731,0.5824,0.586,40.3095,39.9429,0.0186,0.0203,-0.0929,-0.0729,0.0986,0.1015,0.4211,0.4277,5.7773,6.0072,205.2667,-0.0469,0.4057,7.0,17.6,-108.0
Tyson Bagent,4,0.6683,0.6683,34.5,34.5,0.0256,0.0256,0.0796,0.0796,0.0322,0.0322,0.5027,0.5027,5.7163,5.7163,0.5738,0.5512,30.75,31.4,0.0364,0.0348,-0.0153,-0.0311,0.0987,0.1085,0.4308,0.4176,6.1346,6.3256,155.0,-0.0158,0.479,7.0,19.0,-109.0
Will Grier,2,0.576,0.5705,50.3333,49.8,0.0452,0.0416,-0.0564,-0.0206,0.0824,0.0863,0.5101,0.4998,6.1236,6.1048,0.5829,0.5692,49.6667,49.4,0.0522,0.0405,-0.0891,-0.0095,0.0776,0.087,0.4998,0.4979,6.0113,5.971,387.0,-0.101,0.459,7.0,8.0,-113.0
Will Levis,15,0.5706,0.566,35.2024,35.1667,0.0157,0.0118,0.0092,0.0258,0.0891,0.0853,0.431,0.4246,6.4515,6.546,0.5676,0.5653,32.9778,32.7733,0.0218,0.0208,-0.0213,-0.0102,0.1002,0.1069,0.4394,0.4348,6.1661,6.1987,101.2,-0.0243,0.4322,7.0,18.6,-108.0
Zach Wilson,33,0.5114,0.5082,35.5108,35.4468,0.0227,0.0227,-0.1439,-0.1487,0.0955,0.0964,0.3864,0.3828,5.6777,5.6771,0.5361,0.5356,38.4545,38.2485,0.0254,0.0253,-0.1217,-0.1088,0.0806,0.0809,0.3994,0.4036,5.87,5.857,187.3636,-0.1442,0.3881,7.0,16.2727,-108.0
