team,week,year,total_injuries,out_count,questionable_count,ir_count,qb_status,ol_injured
Falcons,18,2025,11,0,0,0,healthy,0
Bills,18,2025,9,0,0,0,healthy,0
Panthers,18,2025,12,0,0,0,healthy,4
Bears,18,2025,10,0,0,0,healthy,0
Bengals,18,2025,8,0,0,0,healthy,1
Colts,18,2025,10,0,0,0,healthy,1
Broncos,18,2025,5,0,0,0,healthy,0
Lions,18,2025,9,0,0,0,healthy,0
,18,2025,0,0,0,0,healthy,0
Texans,18,2025,10,0,0,0,healthy,1
Jaguars,18,2025,8,0,0,0,healthy,0
Dolphins,18,2025,13,1,4,0,healthy,0
Vikings,18,2025,9,0,0,0,healthy,0
Giants,18,2025,12,0,0,0,healthy,0
Titans,18,2025,12,0,0,0,healthy,2
Steelers,18,2025,11,0,0,0,healthy,2
Rams,18,2025,4,0,0,0,healthy,0
Ravens,18,2025,5,0,0,0,healthy,0
Chargers,18,2025,11,0,0,0,healthy,1
Seahawks,18,2025,12,0,0,0,healthy,0
Commanders,18,2025,10,0,0,0,healthy,0
