game_id,season,game_type,week_x,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,week_y,passer_id_x,passer_x,dropbacks_x,attempts_x,completions_x,interceptions_x,sacks_x,scrambles_x,pass_yards_x,qb_epa_total_x,qb_epa_per_play_x,success_rate_x,cpoe_mean_x,primary_qb_low_sample_x,comp_pct_x,int_rate_x,sack_rate_x,ypa_x,TEAM_qb_epa_per_play_L3_x,TEAM_success_rate_L3_x,TEAM_comp_pct_L3_x,TEAM_int_rate_L3_x,TEAM_sack_rate_L3_x,TEAM_ypa_L3_x,TEAM_dropbacks_L3_x,TEAM_qb_epa_per_play_L5_x,TEAM_success_rate_L5_x,TEAM_comp_pct_L5_x,TEAM_int_rate_L5_x,TEAM_sack_rate_L5_x,TEAM_ypa_L5_x,TEAM_dropbacks_L5_x,week,passer_id_y,passer_y,dropbacks_y,attempts_y,completions_y,interceptions_y,sacks_y,scrambles_y,pass_yards_y,qb_epa_total_y,qb_epa_per_play_y,success_rate_y,cpoe_mean_y,primary_qb_low_sample_y,comp_pct_y,int_rate_y,sack_rate_y,ypa_y,TEAM_qb_epa_per_play_L3_y,TEAM_success_rate_L3_y,TEAM_comp_pct_L3_y,TEAM_int_rate_L3_y,TEAM_sack_rate_L3_y,TEAM_ypa_L3_y,TEAM_dropbacks_L3_y,TEAM_qb_epa_per_play_L5_y,TEAM_success_rate_L5_y,TEAM_comp_pct_L5_y,TEAM_int_rate_L5_y,TEAM_sack_rate_L5_y,TEAM_ypa_L5_y,TEAM_dropbacks_L5_y,week_QB_HOME,home_passer_id,home_passer,dropbacks,attempts,completions,interceptions,sacks,scrambles,pass_yards,qb_epa_total,qb_epa_per_play,success_rate,cpoe_mean,primary_qb_low_sample,comp_pct,int_rate,sack_rate,ypa,QB_qb_epa_per_play_L3,QB_success_rate_L3,QB_comp_pct_L3,QB_int_rate_L3,QB_sack_rate_L3,QB_ypa_L3,QB_dropbacks_L3,QB_qb_epa_per_play_L5,QB_success_rate_L5,QB_comp_pct_L5,QB_int_rate_L5,QB_sack_rate_L5,QB_ypa_L5,QB_dropbacks_L5,week_QB_AWAY,away_passer_id,away_passer,dropbacks_QB_AWAY,attempts_QB_AWAY,completions_QB_AWAY,interceptions_QB_AWAY,sacks_QB_AWAY,scrambles_QB_AWAY,pass_yards_QB_AWAY,qb_epa_total_QB_AWAY,qb_epa_per_play_QB_AWAY,success_rate_QB_AWAY,cpoe_mean_QB_AWAY,primary_qb_low_sample_QB_AWAY,comp_pct_QB_AWAY,int_rate_QB_AWAY,sack_rate_QB_AWAY,ypa_QB_AWAY,QB_qb_epa_per_play_L3_QB_AWAY,QB_success_rate_L3_QB_AWAY,QB_comp_pct_L3_QB_AWAY,QB_int_rate_L3_QB_AWAY,QB_sack_rate_L3_QB_AWAY,QB_ypa_L3_QB_AWAY,QB_dropbacks_L3_QB_AWAY,QB_qb_epa_per_play_L5_QB_AWAY,QB_success_rate_L5_QB_AWAY,QB_comp_pct_L5_QB_AWAY,QB_int_rate_L5_QB_AWAY,QB_sack_rate_L5_QB_AWAY,QB_ypa_L5_QB_AWAY,QB_dropbacks_L5_QB_AWAY
2021_01_DAL_TB,2021,REG,1,2021-09-09,Thursday,20:20,DAL,29.0,TB,31.0,Home,2.0,60.0,0.0,2021090900,58503.0,10160000-0585-0395-7f87-0c3334b38e2e,202109090tam,19608.0,401326322,5594.0,7,7,351.0,-425.0,10.0,-121.0,110.0,52.5,-108.0,-103.0,0,outdoors,grass ,82.0,9.0,00-0033077,00-0019596,Dak Prescott,Tom Brady,Mike McCarthy,Bruce Arians,Shawn Hochuli,TAM00,Raymond James Stadium,1.0,00-0019596,T.Brady,50.0,50.0,32.0,2.0,0.0,0.0,379.0,14.006988,0.28013974,0.56,2.908565,0.0,0.64,0.04,0.0,7.58,0.260026603937149,0.5304437564499485,0.5899841017488077,0.027027027027027,0.0299240416887475,6.706836248012717,33.666666666666664,0.35487722158432,0.5361473908208735,0.5831453107373165,0.021094264996704,0.0366698181472463,7.742536235478079,37.2,1.0,00-0033077,D.Prescott,62.0,59.0,42.0,1.0,1.0,4.0,403.0,15.331209,0.22219144,0.5652173913043478,5.343378,0.0,0.711864406779661,0.0169491525423728,0.0161290322580645,6.830508474576271,0.1271297077958782,0.4696594899984731,0.5925089847259658,0.0167059748427672,0.0733077575182838,7.452150718778077,42.333333333333336,0.2104966754093766,0.4952195250699737,0.6100360030804775,0.0141052175587216,0.0640662871640315,7.114555737389296,40.2,1.0,00-0019596,T.Brady,50.0,50.0,32.0,2.0,0.0,0.0,379.0,14.006988,0.28013974,0.56,2.908565,0.0,0.64,0.04,0.0,7.58,0.260026603937149,0.5304437564499485,0.5899841017488076,0.027027027027027,0.0299240416887475,6.706836248012717,33.666666666666664,0.35487722158432,0.5361473908208735,0.5831453107373163,0.021094264996704,0.0366698181472463,7.742536235478079,37.2,1.0,00-0033077,D.Prescott,62.0,59.0,42.0,1.0,1.0,4.0,403.0,15.331209,0.22219144,0.5652173913043478,5.343378,0.0,0.711864406779661,0.0169491525423728,0.0161290322580645,6.830508474576271,0.0929832595090071,0.5490695646945647,0.6381068752036495,0.0316389703486477,0.0416065416065416,7.836298468556534,49.333333333333336,0.119384454190731,0.5518056843949701,0.6465925952336384,0.0189833822091886,0.0424639249639249,7.883339364821863,48.2
2021_01_PHI_ATL,2021,REG,1,2021-09-12,Sunday,13:00,PHI,32.0,ATL,6.0,Home,-26.0,38.0,0.0,2021091200,58504.0,10160000-0585-0480-6b01-c3eef69858d5,202109120atl,19609.0,401326315,5600.0,7,7,161.0,-180.0,3.5,-109.0,-101.0,49.0,-108.0,-103.0,0,open,fieldturf,,,00-0036389,00-0026143,Jalen Hurts,Matt Ryan,Nick Sirianni,Arthur Smith,Scott Novak,ATL97,Mercedes-Benz Stadium,1.0,00-0026143,M.Ryan,39.0,38.0,21.0,0.0,3.0,1.0,164.0,-16.788092,-0.38154754,0.3863636363636363,-6.978585,0.0,0.5526315789473685,0.0,0.0769230769230769,4.315789473684211,0.2543186992406845,0.5036565745209888,0.6635327635327636,0.0,0.0604633661237435,6.8091168091168095,45.66666666666666,0.1023420020937919,0.477752111575108,0.6121252603605545,0.0176470588235294,0.0619923053885318,6.703117144293616,42.8,1.0,00-0036389,J.Hurts,38.0,35.0,27.0,0.0,1.0,4.0,264.0,11.839268,0.2959817,0.575,9.298266,0.0,0.7714285714285715,0.0,0.0263157894736842,7.542857142857143,-0.0038874968886375,0.4198686371100164,0.4377777777777777,0.0317460317460317,0.070530303030303,6.110476190476191,42.66666666666666,-0.008607293665409,0.4069861173309449,0.4430659407138536,0.019047619047619,0.0804134199134199,5.649588799585169,36.4,1.0,00-0026143,M.Ryan,39.0,38.0,21.0,0.0,3.0,1.0,164.0,-16.788092,-0.38154754,0.3863636363636363,-6.978585,0.0,0.5526315789473685,0.0,0.0769230769230769,4.315789473684211,0.2543186992406845,0.5036565745209888,0.6635327635327636,0.0,0.0604633661237435,6.8091168091168095,45.66666666666666,0.1023420020937919,0.477752111575108,0.6121252603605545,0.0176470588235294,0.0619923053885318,6.703117144293616,42.8,1.0,00-0036389,J.Hurts,38.0,35.0,27.0,0.0,1.0,4.0,264.0,11.839268,0.2959817,0.575,9.298266,0.0,0.7714285714285715,0.0,0.0263157894736842,7.542857142857143,-0.0038874968886375,0.4198686371100164,0.4377777777777777,0.0317460317460317,0.070530303030303,6.110476190476191,42.66666666666666,0.0393809545785188,0.4291871921182266,0.4748850574712643,0.0238095238095238,0.0528977272727272,6.022512315270936,40.25
2021_01_PIT_BUF,2021,REG,1,2021-09-12,Sunday,13:00,PIT,23.0,BUF,16.0,Home,-7.0,39.0,0.0,2021091201,58505.0,10160000-0585-05c2-6453-a2e392056a4d,202109120buf,19610.0,401326308,5598.0,7,7,232.0,-267.0,6.5,-110.0,-100.0,48.0,-114.0,103.0,0,outdoors,a_turf,73.0,17.0,00-0022924,00-0034857,Ben Roethlisberger,Josh Allen,Mike Tomlin,Sean McDermott,John Hussey,BUF00,New Era Field,1.0,00-0034857,J.Allen,55.0,54.0,30.0,0.0,3.0,2.0,270.0,-7.574749,-0.12417621,0.4098360655737705,-2.6672046,0.0,0.5555555555555556,0.0,0.0545454545454545,5.0,0.0732633285224437,0.4727848973404988,0.6069160597462484,0.0062893081761006,0.0563218390804597,6.48463412614356,46.0,0.2346699126064777,0.5275455822789432,0.6526111743092875,0.011465892597968,0.0412005108556832,7.391635176540836,40.4,1.0,00-0022924,B.Roethlisberger,35.0,34.0,18.0,0.0,2.0,1.0,188.0,3.0039775,0.07905204,0.5,-8.837184,0.0,0.5294117647058824,0.0,0.0571428571428571,5.529411764705882,0.1440214912096659,0.4904841126567791,0.6261857322798581,0.0269094240238177,0.0146031746031746,7.186421619145771,54.333333333333336,-0.0089407324790954,0.4459571342607341,0.585967849624325,0.031530269798906,0.019018315018315,6.142622202256692,48.2,1.0,00-0034857,J.Allen,55.0,54.0,30.0,0.0,3.0,2.0,270.0,-7.574749,-0.12417621,0.4098360655737705,-2.6672046,0.0,0.5555555555555556,0.0,0.0545454545454545,5.0,0.0732633285224437,0.4727848973404988,0.6069160597462484,0.0062893081761006,0.0563218390804597,6.48463412614356,46.0,0.2346699126064777,0.5275455822789432,0.6526111743092875,0.011465892597968,0.0412005108556832,7.391635176540836,40.4,1.0,00-0022924,B.Roethlisberger,35.0,34.0,18.0,0.0,2.0,1.0,188.0,3.0039775,0.07905204,0.5,-8.837184,0.0,0.5294117647058824,0.0,0.0571428571428571,5.529411764705882,0.0159067660570144,0.469812278031456,0.6182641146021428,0.0273263512700132,0.0152136752136752,6.0784374623811255,53.333333333333336,-0.0537971908226609,0.4475891212048385,0.6031790783403859,0.0304258059240785,0.0142564102564102,5.756980232629449,50.4
2021_01_NYJ_CAR,2021,REG,1,2021-09-12,Sunday,13:00,NYJ,14.0,CAR,19.0,Home,5.0,33.0,0.0,2021091202,58506.0,10160000-0585-06c9-4855-c84e9f187c74,202109120car,19611.0,401326309,5599.0,7,7,164.0,-184.0,3.5,-108.0,-102.0,44.5,-107.0,-104.0,0,outdoors,grass ,81.0,0.0,00-0037013,00-0034869,Zach Wilson,Sam Darnold,Robert Saleh,Matt Rhule,Clay Martin,CAR00,Bank of America Stadium,1.0,00-0034869,S.Darnold,36.0,36.0,24.0,0.0,1.0,0.0,279.0,1.4189615,0.03835031,0.4324324324324324,9.312789,0.0,0.6666666666666666,0.0,0.0277777777777777,7.75,-0.0798577840129534,0.4694493959199841,0.5626827485380117,0.0381944444444444,0.0769392635102821,6.759685672514622,33.333333333333336,-0.0319759910460561,0.4555731463239203,0.5825447140578719,0.0286309523809523,0.0635548624539953,6.8678893255866935,36.6,1.0,00-0037013,Z.Wilson,44.0,44.0,20.0,1.0,6.0,0.0,258.0,-6.313996,-0.13726078,0.3695652173913043,-7.733312,0.0,0.4545454545454545,0.0227272727272727,0.1363636363636363,5.863636363636363,0.0225573933372894,0.4594594594594594,0.5862921745274685,0.018018018018018,0.0640926640926641,6.202991761815291,36.333333333333336,-0.020994621887803,0.4464283638477186,0.552030732558116,0.0182182182182182,0.0791452536280122,6.0099176624531605,33.6,1.0,00-0034869,S.Darnold,36.0,36.0,24.0,0.0,1.0,0.0,279.0,1.4189615,0.03835031,0.4324324324324324,9.312789,0.0,0.6666666666666666,0.0,0.0277777777777777,7.75,0.0225573933372894,0.4594594594594594,0.5862921745274686,0.018018018018018,0.0640926640926641,6.202991761815291,36.333333333333336,-0.020994621887803,0.4464283638477186,0.552030732558116,0.0182182182182182,0.0791452536280122,6.00991766245316,33.6,1.0,00-0037013,Z.Wilson,44.0,44.0,20.0,1.0,6.0,0.0,258.0,-6.313996,-0.13726078,0.3695652173913043,-7.733312,0.0,0.4545454545454545,0.0227272727272727,0.1363636363636363,5.863636363636363,,,,,,,,,,,,,,
2021_01_MIN_CIN,2021,REG,1,2021-09-12,Sunday,13:00,MIN,24.0,CIN,27.0,Home,3.0,51.0,1.0,2021091203,58507.0,10160000-0585-078e-e7ac-a2f205f45b71,202109120cin,19612.0,401326316,5603.0,7,7,-135.0,122.0,-3.0,109.0,-120.0,47.0,102.0,-114.0,0,outdoors,fieldturf,81.0,15.0,00-0029604,00-0036442,Kirk Cousins,Joe Burrow,Mike Zimmer,Zac Taylor,Adrian Hill,CIN00,Paul Brown Stadium,1.0,00-0036442,J.Burrow,31.0,31.0,20.0,0.0,5.0,0.0,261.0,6.4735794,0.20229936,0.46875,9.019653,0.0,0.6451612903225806,0.0,0.1612903225806451,8.419354838709678,-0.1689417238036791,0.4333333333333333,0.512054912054912,0.0317460317460317,0.0416666666666666,6.082024882024882,24.666666666666668,-0.0873241260647773,0.4574358974358974,0.548899613899614,0.0273809523809523,0.065,6.129770484770485,27.4,1.0,00-0029604,K.Cousins,51.0,51.0,36.0,0.0,3.0,0.0,351.0,10.176446,0.17248213,0.4406779661016949,5.2669063,0.0,0.7058823529411765,0.0,0.0588235294117647,6.882352941176471,0.2675273070732752,0.5371496116176967,0.6378159343275622,0.009009009009009,0.0634073291050035,7.7855217797078256,42.333333333333336,0.1912424746551551,0.5331484500664979,0.6109294058576592,0.0096607245543415,0.0797110641296687,6.991912680977501,44.6,1.0,00-0036442,J.Burrow,31.0,31.0,20.0,0.0,5.0,0.0,261.0,6.4735794,0.20229936,0.46875,9.019653,0.0,0.6451612903225806,0.0,0.1612903225806451,8.419354838709678,0.1288006007671356,0.4961290193848333,0.6127112064184567,0.0,0.0310077519379844,5.884602112372291,38.66666666666666,0.2059754312038421,0.5114340253875137,0.6268328453240535,0.0087996174079387,0.0435130760712156,6.649747398461156,42.0,1.0,00-0029604,K.Cousins,51.0,51.0,36.0,0.0,3.0,0.0,351.0,10.176446,0.17248213,0.4406779661016949,5.2669063,0.0,0.7058823529411765,0.0,0.0588235294117647,6.882352941176471,0.2675273070732752,0.5371496116176967,0.6378159343275622,0.009009009009009,0.0634073291050035,7.7855217797078256,42.333333333333336,0.1912424746551551,0.5331484500664979,0.6109294058576593,0.0096607245543415,0.0797110641296687,6.991912680977501,44.6
2021_01_SF_DET,2021,REG,1,2021-09-12,Sunday,13:00,SF,41.0,DET,33.0,Home,-8.0,74.0,0.0,2021091204,58508.0,10160000-0585-08b2-196f-5fa85a77a226,202109120det,19613.0,401326317,5601.0,7,7,-415.0,344.0,-9.5,-105.0,-105.0,46.0,-103.0,-108.0,0,dome,fieldturf,,,00-0031345,00-0033106,Jimmy Garoppolo,Jared Goff,Kyle Shanahan,Dan Campbell,Brad Rogers,DET00,Ford Field,1.0,00-0033106,J.Goff,65.0,62.0,38.0,1.0,3.0,3.0,338.0,-1.851315,-0.02607486,0.4788732394366197,-2.9112055,0.0,0.6129032258064516,0.0161290322580645,0.0461538461538461,5.451612903225806,0.0636530369520187,0.4209588141476685,0.6315943043884221,0.0098039215686274,0.0568783068783068,6.862628384687209,30.0,0.1699822425842285,0.477423773337086,0.6314135850900557,0.010427807486631,0.0642705247968405,7.263768677003971,34.4,1.0,00-0031345,J.Garoppolo,26.0,25.0,17.0,0.0,1.0,1.0,314.0,19.687973,0.75722975,0.5769230769230769,5.270083,0.0,0.68,0.0,0.0384615384615384,12.56,0.0904368199408054,0.446097263170434,0.5658771929824562,0.0175438596491228,0.0814842609964561,6.622719298245616,35.0,0.0304218314588069,0.4669036409211282,0.5728596491228071,0.0247827260458839,0.0648905565978736,6.6341443994601885,38.8,1.0,00-0033106,J.Goff,65.0,62.0,38.0,1.0,3.0,3.0,338.0,-1.851315,-0.02607486,0.4788732394366197,-2.9112055,0.0,0.6129032258064516,0.0161290322580645,0.0461538461538461,5.451612903225806,0.0034048408269882,0.4638694638694638,0.5355201863354037,0.0072463768115941,0.0899378399378399,5.968469634230504,35.666666666666664,-0.0686409473419189,0.4348031598031598,0.5633079537970842,0.0174455391846696,0.0771595850543219,5.7646576641141865,34.4,1.0,00-0031345,J.Garoppolo,26.0,25.0,17.0,0.0,1.0,1.0,314.0,19.687973,0.75722975,0.5769230769230769,5.270083,0.0,0.68,0.0,0.0384615384615384,12.56,0.1175471444924672,0.4769841269841269,0.6054001554001555,0.0589743589743589,0.0623456790123456,7.541686091686091,27.0,0.2711263671517372,0.5142606516290726,0.63350153114859,0.0353846153846153,0.0653883295059765,7.505077014488779,27.0
2021_01_JAX_HOU,2021,REG,1,2021-09-12,Sunday,13:00,JAX,21.0,HOU,37.0,Home,16.0,58.0,0.0,2021091205,58509.0,10160000-0585-0955-6419-0435c7f11d5d,202109120htx,19614.0,401326310,5602.0,7,7,-172.0,154.0,-3.5,103.0,-113.0,45.5,-107.0,-104.0,1,closed,astroturf,,,00-0036971,00-0028118,Trevor Lawrence,Tyrod Taylor,Urban Meyer,David Culley,Land Clark,HOU00,NRG Stadium,1.0,00-0028118,T.Taylor,37.0,34.0,21.0,0.0,1.0,3.0,291.0,17.615221,0.4403805,0.525,1.3742651,0.0,0.6176470588235294,0.0,0.027027027027027,8.558823529411764,0.2422533631324768,0.5784890798424632,0.6865457645508797,0.0075757575757575,0.071391408777427,8.644520654111448,44.333333333333336,0.1519194111227989,0.5345479933600235,0.649524357955334,0.0091966173361522,0.0922396071712181,7.989425570761442,44.6,1.0,00-0036971,T.Lawrence,52.0,52.0,28.0,3.0,1.0,0.0,332.0,-4.2226567,-0.075404584,0.4107142857142857,-10.708762,0.0,0.5384615384615384,0.0576923076923076,0.0192307692307692,6.384615384615385,-0.0797675947348276,0.4202471702471702,0.6067681458548332,0.0175438596491228,0.0980576441102756,5.87906346749226,40.333333333333336,-0.0485965929925441,0.4425112558404173,0.6074626470436917,0.0196172248803827,0.0673452247640377,5.948552449996822,40.2,1.0,00-0028118,T.Taylor,37.0,34.0,21.0,0.0,1.0,3.0,291.0,17.615221,0.4403805,0.525,1.3742651,0.0,0.6176470588235294,0.0,0.027027027027027,8.558823529411764,-0.0215472448617219,0.4044401544401544,0.4975845410628019,0.0173473869126043,0.0922044289413878,6.07905138339921,40.66666666666666,-0.0215472448617219,0.4044401544401544,0.4975845410628019,0.0173473869126043,0.0922044289413878,6.07905138339921,40.66666666666666,1.0,00-0036971,T.Lawrence,52.0,52.0,28.0,3.0,1.0,0.0,332.0,-4.2226567,-0.075404584,0.4107142857142857,-10.708762,0.0,0.5384615384615384,0.0576923076923076,0.0192307692307692,6.384615384615385,,,,,,,,,,,,,,
2021_01_SEA_IND,2021,REG,1,2021-09-12,Sunday,13:00,SEA,28.0,IND,16.0,Home,-12.0,44.0,0.0,2021091206,58510.0,10160000-0585-10d0-bbae-7ced514d73f5,202109120clt,19615.0,401326318,5596.0,7,7,-146.0,132.0,-3.0,106.0,-117.0,49.0,-105.0,-106.0,0,closed,fieldturf,,,00-0029263,00-0032950,Russell Wilson,Carson Wentz,Pete Carroll,Frank Reich,Tony Corrente,IND00,Lucas Oil Stadium,1.0,00-0032950,C.Wentz,44.0,41.0,25.0,0.0,3.0,3.0,251.0,2.724196,0.057961617,0.5319148936170213,0.8047669,0.0,0.6097560975609756,0.0,0.0681818181818181,6.121951219512195,0.0962924336393674,0.4629255170027855,0.5733574935702596,0.0204517704517704,0.0427350427350427,6.451562621775388,38.0,0.2383719250559806,0.484421976868338,0.6314529197874759,0.0122710622710622,0.0325375773651635,7.186208509025823,34.2,1.0,00-0029263,R.Wilson,28.0,26.0,18.0,0.0,3.0,2.0,254.0,13.279392,0.4579101,0.5172413793103449,14.128126,0.0,0.6923076923076923,0.0,0.1071428571428571,9.76923076923077,-0.0796207139889399,0.3724053724053723,0.4752071150097466,0.0104166666666666,0.1060289612921191,5.483552631578949,38.66666666666666,0.0841756835579872,0.465240506619817,0.5740131578947368,0.0210648148148148,0.0636173767752715,5.712353801169591,34.6,1.0,00-0032950,C.Wentz,44.0,41.0,25.0,0.0,3.0,3.0,251.0,2.724196,0.057961617,0.5319148936170213,0.8047669,0.0,0.6097560975609756,0.0,0.0681818181818181,6.121951219512195,-0.1753766487042109,0.3470506781400294,0.4469298245614035,0.0233333333333333,0.1428945792153339,4.777631578947369,38.0,-0.1815492913126945,0.39014255158686,0.464346919127086,0.0265,0.1242648860573388,4.649963093709885,37.8,1.0,00-0029263,R.Wilson,28.0,26.0,18.0,0.0,3.0,2.0,254.0,13.279392,0.4579101,0.5172413793103449,14.128126,0.0,0.6923076923076923,0.0,0.1071428571428571,9.76923076923077,-0.0796207139889399,0.3724053724053723,0.4752071150097466,0.0104166666666666,0.1060289612921191,5.483552631578949,38.66666666666666,0.0841756835579872,0.465240506619817,0.5740131578947368,0.0210648148148148,0.0636173767752715,5.712353801169591,34.6
2021_01_ARI_TEN,2021,REG,1,2021-09-12,Sunday,13:00,ARI,38.0,TEN,13.0,Home,-25.0,51.0,0.0,2021091207,58511.0,10160000-0585-1194-5bd6-3e939eca6530,202109120oti,19616.0,401326311,5597.0,7,7,131.0,-146.0,2.5,105.0,-116.0,54.0,-103.0,-108.0,0,outdoors,grass ,82.0,8.0,00-0035228,00-0029701,Kyler Murray,Ryan Tannehill,Kliff Kingsbury,Mike Vrabel,Jerome Boger,NAS00,Nissan Stadium,1.0,00-0029701,R.Tannehill,43.0,41.0,21.0,1.0,6.0,2.0,212.0,-17.008,-0.38654545,0.4772727272727273,-5.220293,0.0,0.5121951219512195,0.024390243902439,0.1395348837209302,5.170731707317073,0.0233425789823134,0.452420679061391,0.5701444149720012,0.0379867046533713,0.0572196620583717,6.071077709008744,29.0,0.2543188389390707,0.5154524074368345,0.6440866489832008,0.0227920227920227,0.0492283489591609,7.288646625405247,28.2,1.0,00-0035228,K.Murray,35.0,34.0,21.0,1.0,2.0,1.0,289.0,14.588703,0.40524176,0.4444444444444444,4.517288,0.0,0.6176470588235294,0.0294117647058823,0.0571428571428571,8.5,-0.254770537217458,0.4111985472154963,0.6419155004060664,0.0338168357036281,0.0628254248943904,7.155561221598958,38.333333333333336,-0.1557674795389175,0.4349855131073104,0.6234826335769732,0.0252901014221768,0.0519968070430644,6.5138922885149295,40.0,1.0,00-0029701,R.Tannehill,43.0,41.0,21.0,1.0,6.0,2.0,212.0,-17.008,-0.38654545,0.4772727272727273,-5.220293,0.0,0.5121951219512195,0.024390243902439,0.1395348837209302,5.170731707317073,0.0233425789823134,0.4524206790613909,0.5701444149720011,0.0379867046533713,0.0572196620583717,6.071077709008744,29.0,0.2543188389390707,0.5154524074368345,0.6440866489832007,0.0227920227920227,0.0492283489591609,7.288646625405247,28.2,1.0,00-0035228,K.Murray,35.0,34.0,21.0,1.0,2.0,1.0,289.0,14.588703,0.40524176,0.4444444444444444,4.517288,0.0,0.6176470588235294,0.0294117647058823,0.0571428571428571,8.5,0.0469380567471186,0.4902028762198254,0.660434018924585,0.0152983171851096,0.0333641454331109,7.470376036413771,47.0,0.0063137829303741,0.4730807512025485,0.6290381891325288,0.0197345458666213,0.0400309950772524,6.291670066292707,44.2
2021_01_LAC_WAS,2021,REG,1,2021-09-12,Sunday,13:00,LAC,20.0,WAS,16.0,Home,-4.0,36.0,0.0,2021091208,58512.0,10160000-0585-1250-d8b5-dc096164eee6,202109120was,19617.0,401326312,5595.0,7,7,117.0,-129.0,2.5,-109.0,-101.0,45.5,-115.0,103.0,0,outdoors,grass ,81.0,4.0,00-0036355,00-0023682,Justin Herbert,Ryan Fitzpatrick,Brandon Staley,Ron Rivera,Alex Kemp,WAS00,FedExField,1.0,00-0031800,T.Heinicke,18.0,15.0,11.0,0.0,0.0,3.0,122.0,5.2487564,0.24994078,0.5238095238095238,11.988288,0.0,0.7333333333333333,0.0,0.0,8.133333333333333,-0.2207302923003832,0.3479960899315737,0.5494765281999325,0.0483620398514015,0.063372267145852,5.424181019925701,39.333333333333336,-0.2404565088450908,0.3594888981985756,0.5384994762419935,0.04579688492779,0.0609265860939628,4.824508611955421,40.0,1.0,00-0036355,J.Herbert,49.0,49.0,31.0,1.0,2.0,0.0,337.0,9.398323,0.18073699,0.5576923076923077,3.165356,0.0,0.6326530612244898,0.0204081632653061,0.0408163265306122,6.877551020408164,0.4924333492914836,0.5537987380092643,0.6317460317460317,0.0,0.055125558995528,8.457431457431456,36.0,0.2195482462644577,0.4991567131612898,0.6335930735930736,0.0117171717171717,0.0484288707508521,6.914458874458875,41.6,1.0,00-0031800,T.Heinicke,18.0,15.0,11.0,0.0,0.0,3.0,122.0,5.2487564,0.24994078,0.5238095238095238,11.988288,0.0,0.7333333333333333,0.0,0.0,8.133333333333333,-0.084998968988657,0.4075036075036075,0.5821513002364067,0.0384160756501182,0.0367250673854447,5.792356185973207,54.5,-0.084998968988657,0.4075036075036075,0.5821513002364067,0.0384160756501182,0.0367250673854447,5.792356185973207,54.5,1.0,00-0036355,J.Herbert,49.0,49.0,31.0,1.0,2.0,0.0,337.0,9.398323,0.18073699,0.5576923076923077,3.165356,0.0,0.6326530612244898,0.0204081632653061,0.0408163265306122,6.877551020408164,0.4924333492914836,0.5537987380092643,0.6317460317460317,0.0,0.055125558995528,8.457431457431456,36.0,0.2195482462644577,0.4991567131612898,0.6335930735930736,0.0117171717171717,0.0484288707508521,6.914458874458875,41.6
