game_id,season,game_type,week_x,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,week_y,passer_id_x,passer_x,dropbacks_x,attempts_x,completions_x,interceptions_x,sacks_x,scrambles_x,pass_yards_x,qb_epa_total_x,qb_epa_per_play_x,success_rate_x,cpoe_mean_x,primary_qb_low_sample_x,comp_pct_x,int_rate_x,sack_rate_x,ypa_x,TEAM_qb_epa_per_play_L3_x,TEAM_success_rate_L3_x,TEAM_comp_pct_L3_x,TEAM_int_rate_L3_x,TEAM_sack_rate_L3_x,TEAM_ypa_L3_x,TEAM_dropbacks_L3_x,TEAM_qb_epa_per_play_L5_x,TEAM_success_rate_L5_x,TEAM_comp_pct_L5_x,TEAM_int_rate_L5_x,TEAM_sack_rate_L5_x,TEAM_ypa_L5_x,TEAM_dropbacks_L5_x,week,passer_id_y,passer_y,dropbacks_y,attempts_y,completions_y,interceptions_y,sacks_y,scrambles_y,pass_yards_y,qb_epa_total_y,qb_epa_per_play_y,success_rate_y,cpoe_mean_y,primary_qb_low_sample_y,comp_pct_y,int_rate_y,sack_rate_y,ypa_y,TEAM_qb_epa_per_play_L3_y,TEAM_success_rate_L3_y,TEAM_comp_pct_L3_y,TEAM_int_rate_L3_y,TEAM_sack_rate_L3_y,TEAM_ypa_L3_y,TEAM_dropbacks_L3_y,TEAM_qb_epa_per_play_L5_y,TEAM_success_rate_L5_y,TEAM_comp_pct_L5_y,TEAM_int_rate_L5_y,TEAM_sack_rate_L5_y,TEAM_ypa_L5_y,TEAM_dropbacks_L5_y,week_QB_HOME,home_passer_id,home_passer,dropbacks,attempts,completions,interceptions,sacks,scrambles,pass_yards,qb_epa_total,qb_epa_per_play,success_rate,cpoe_mean,primary_qb_low_sample,comp_pct,int_rate,sack_rate,ypa,QB_qb_epa_per_play_L3,QB_success_rate_L3,QB_comp_pct_L3,QB_int_rate_L3,QB_sack_rate_L3,QB_ypa_L3,QB_dropbacks_L3,QB_qb_epa_per_play_L5,QB_success_rate_L5,QB_comp_pct_L5,QB_int_rate_L5,QB_sack_rate_L5,QB_ypa_L5,QB_dropbacks_L5,week_QB_AWAY,away_passer_id,away_passer,dropbacks_QB_AWAY,attempts_QB_AWAY,completions_QB_AWAY,interceptions_QB_AWAY,sacks_QB_AWAY,scrambles_QB_AWAY,pass_yards_QB_AWAY,qb_epa_total_QB_AWAY,qb_epa_per_play_QB_AWAY,success_rate_QB_AWAY,cpoe_mean_QB_AWAY,primary_qb_low_sample_QB_AWAY,comp_pct_QB_AWAY,int_rate_QB_AWAY,sack_rate_QB_AWAY,ypa_QB_AWAY,QB_qb_epa_per_play_L3_QB_AWAY,QB_success_rate_L3_QB_AWAY,QB_comp_pct_L3_QB_AWAY,QB_int_rate_L3_QB_AWAY,QB_sack_rate_L3_QB_AWAY,QB_ypa_L3_QB_AWAY,QB_dropbacks_L3_QB_AWAY,QB_qb_epa_per_play_L5_QB_AWAY,QB_success_rate_L5_QB_AWAY,QB_comp_pct_L5_QB_AWAY,QB_int_rate_L5_QB_AWAY,QB_sack_rate_L5_QB_AWAY,QB_ypa_L5_QB_AWAY,QB_dropbacks_L5_QB_AWAY
2024_01_BAL_KC,2024,REG,1,2024-09-05,Thursday,20:20,BAL,20.0,KC,27.0,Home,7.0,47.0,0.0,2024090500,59508.0,,202409050kan,,401671789,6449.0,7,7,124.0,-148.0,3.0,-118.0,-102.0,46.0,-110.0,-110.0,0,outdoors,grass,67.0,8.0,00-0034796,00-0033873,Lamar Jackson,Patrick Mahomes,John Harbaugh,Andy Reid,Shawn Hochuli,KAN00,GEHA Field at Arrowhead Stadium,1.0,00-0033873,P.Mahomes,31.0,30.0,20.0,1.0,2.0,2.0,291.0,13.794018,0.41800055,0.5757575757575758,3.4292424,0.0,0.6666666666666666,0.0333333333333333,0.064516129032258,9.7,0.3018577446540196,0.5326839826839828,0.7215717676253958,0.0068027210884353,0.0333333333333333,7.34059774493042,41.333333333333336,0.2226848810911178,0.4845951920420005,0.6419123760748441,0.010533245556287,0.0257142857142857,6.675955814542832,40.4,1.0,00-0034796,L.Jackson,52.0,42.0,26.0,0.0,1.0,11.0,273.0,-2.573219,-0.044365846,0.4655172413793103,-2.542633,0.0,0.6190476190476191,0.0,0.0192307692307692,6.5,0.0321405058105786,0.4623118078885157,0.5321849593495934,0.008130081300813,0.0974065598779557,5.75888211382114,38.0,0.2741797551512718,0.5172472245932492,0.607271663570444,0.0048780487804878,0.0767003461831836,7.735673248636663,35.6,1.0,00-0033873,P.Mahomes,31.0,30.0,20.0,1.0,2.0,2.0,291.0,13.794018,0.41800055,0.5757575757575758,3.4292424,0.0,0.6666666666666666,0.0333333333333333,0.064516129032258,9.7,0.3018577446540196,0.5326839826839828,0.7215717676253958,0.0068027210884353,0.0333333333333333,7.340597744930421,41.333333333333336,0.2636387810111046,0.4982086374201517,0.680622053494199,0.0040816326530612,0.0321212121212121,7.263052588736381,40.0,1.0,00-0034796,L.Jackson,52.0,42.0,26.0,0.0,1.0,11.0,273.0,-2.573219,-0.044365846,0.4655172413793103,-2.542633,0.0,0.6190476190476191,0.0,0.0192307692307692,6.5,0.4295155579845111,0.5486815784688125,0.6486622320768662,0.008130081300813,0.0756521739130434,9.101685144124168,33.666666666666664,0.2963111460208892,0.5415256626238095,0.6172253672741477,0.0122854561878952,0.0750025533139137,8.08983991530333,34.2
2024_01_GB_PHI,2024,REG,1,2024-09-06,Friday,20:15,GB,29.0,PHI,34.0,Neutral,5.0,63.0,0.0,2024090600,59509.0,,202409060phi,,401671805,6450.0,7,7,110.0,-130.0,2.0,-110.0,-110.0,49.5,-112.0,-108.0,0,outdoors,,,,00-0036264,00-0036389,Jordan Love,Jalen Hurts,Matt LaFleur,Nick Sirianni,Ron Torbert,SAO00,Arena Corinthians,1.0,00-0036389,J.Hurts,38.0,35.0,20.0,2.0,2.0,3.0,278.0,14.48931,0.36223274,0.55,0.9015215,0.0,0.5714285714285714,0.0571428571428571,0.0526315789473684,7.942857142857143,0.0803026085098584,0.5025252525252525,0.6685736079328756,0.0289855072463768,0.0673076923076923,6.7581998474447,29.0,0.0999031737446785,0.5065434356132031,0.6338985071914872,0.0354227352824828,0.0452626641651031,6.521090297217853,33.0,1.0,00-0036264,J.Love,35.0,35.0,17.0,1.0,1.0,0.0,260.0,4.23361,0.10584025,0.4,-7.7643814,0.0,0.4857142857142857,0.0285714285714285,0.0285714285714285,7.428571428571429,0.5373261173566183,0.5801693404634581,0.7266955266955267,0.019047619047619,0.0098039215686274,9.356998556998557,30.33333333333333,0.4971519947052002,0.5784046345811051,0.6987132407822063,0.0114285714285714,0.0125490196078431,8.676059113300493,30.8,1.0,00-0036389,J.Hurts,38.0,35.0,20.0,2.0,2.0,3.0,278.0,14.48931,0.36223274,0.55,0.9015215,0.0,0.5714285714285714,0.0571428571428571,0.0526315789473684,7.942857142857143,0.1696400617559751,0.4786234437397228,0.6852960159596315,0.0230397621701969,0.0337711069418386,7.185921883862387,34.666666666666664,0.1456072472035884,0.4898767689465364,0.6494264575020463,0.0267270831085697,0.0274055213079603,6.64127663262158,33.8,1.0,00-0036264,J.Love,35.0,35.0,17.0,1.0,1.0,0.0,260.0,4.23361,0.10584025,0.4,-7.7643814,0.0,0.4857142857142857,0.0285714285714285,0.0285714285714285,7.428571428571429,0.5373261173566183,0.580169340463458,0.7266955266955267,0.019047619047619,0.0098039215686274,9.356998556998557,30.33333333333333,0.4971519947052002,0.5784046345811051,0.6987132407822063,0.0114285714285714,0.0125490196078431,8.676059113300493,30.8
2024_01_PIT_ATL,2024,REG,1,2024-09-08,Sunday,13:00,PIT,18.0,ATL,10.0,Home,-8.0,28.0,0.0,2024090800,59510.0,,202409080atl,,401671744,6451.0,7,7,160.0,-192.0,4.0,-110.0,-110.0,43.0,-115.0,-105.0,0,closed,fieldturf,,,00-0036945,00-0029604,Justin Fields,Kirk Cousins,Mike Tomlin,Raheem Morris,Brad Rogers,ATL97,Mercedes-Benz Stadium,1.0,00-0029604,K.Cousins,27.0,27.0,16.0,2.0,2.0,0.0,155.0,-10.14981,-0.31718156,0.46875,-1.427068,0.0,0.5925925925925926,0.074074074074074,0.074074074074074,5.7407407407407405,0.1522808826218048,0.4992530345471521,0.5842945584881069,0.0433691756272401,0.0288515406162465,7.299152818507657,33.0,0.12782594114542,0.4889135228559508,0.5915069676510036,0.0406726681670417,0.0306442577030812,7.513445179476688,33.0,1.0,00-0036945,J.Fields,30.0,25.0,17.0,0.0,2.0,5.0,156.0,-1.1008704,-0.0344022,0.375,3.3381834,0.0,0.68,0.0,0.0666666666666666,6.24,0.135207500308752,0.4934977797296638,0.6889037532515793,0.0085470085470085,0.064428854990891,7.81349684132293,30.0,0.1066729195415973,0.4760986678377982,0.6578477464564421,0.0205128205128205,0.0686307877955956,8.05952667622233,29.0,1.0,00-0029604,K.Cousins,27.0,27.0,16.0,2.0,2.0,0.0,155.0,-10.14981,-0.31718156,0.46875,-1.427068,0.0,0.5925925925925926,0.074074074074074,0.074074074074074,5.7407407407407405,0.2603304634491603,0.503882399023064,0.7095959595959597,0.0075757575757575,0.039809863339275,7.4595959595959584,37.0,0.0870083436369895,0.4851218922440271,0.6584106369820656,0.0235930735930735,0.0551784350103677,6.958750773036488,36.2,1.0,00-0036945,J.Fields,30.0,25.0,17.0,0.0,2.0,5.0,156.0,-1.1008704,-0.0344022,0.375,3.3381834,0.0,0.68,0.0,0.0666666666666666,6.24,0.0773821313244601,0.4296296296296297,0.5436507936507936,0.0119047619047619,0.1058612440191387,6.9253968253968266,31.666666666666668,0.0288088076747953,0.3898550724637681,0.5172652719164347,0.0164451827242524,0.09148422608628,6.132736523899315,36.2
2024_01_ARI_BUF,2024,REG,1,2024-09-08,Sunday,13:00,ARI,28.0,BUF,34.0,Home,6.0,62.0,0.0,2024090801,59511.0,,202409080buf,,401671617,6452.0,7,7,250.0,-310.0,6.5,-105.0,-115.0,46.0,-112.0,-108.0,0,outdoors,a_turf,61.0,20.0,00-0035228,00-0034857,Kyler Murray,Josh Allen,Jonathan Gannon,Sean McDermott,Tra Blake,BUF00,New Era Field,1.0,00-0034857,J.Allen,30.0,25.0,18.0,0.0,2.0,5.0,232.0,16.962357,0.53007364,0.6875,7.1098332,0.0,0.72,0.0,0.0666666666666666,9.28,0.2185833752155304,0.5219461697722566,0.6848746612466124,0.016260162601626,0.0418300653594771,6.6230261100687935,41.66666666666666,0.1591564685106277,0.4854753941710463,0.6440626266599909,0.0252986195551105,0.0396760443307757,7.218683701231892,36.4,1.0,00-0035228,K.Murray,38.0,35.0,21.0,0.0,4.0,3.0,162.0,6.04129,0.15898131,0.4473684210526316,0.9761969,0.0,0.6,0.0,0.1052631578947368,4.628571428571429,0.2593225538730621,0.5108356903415044,0.6890843923101988,0.0101010101010101,0.0360936041083099,7.077305311176279,36.0,0.182821287214756,0.4588418397368174,0.6383808679442587,0.0153629316420014,0.0495144555406703,6.387778535542976,36.2,1.0,00-0034857,J.Allen,30.0,25.0,18.0,0.0,2.0,5.0,232.0,16.962357,0.53007364,0.6875,7.1098332,0.0,0.72,0.0,0.0666666666666666,9.28,0.2185833752155304,0.5219461697722566,0.6848746612466124,0.016260162601626,0.0418300653594771,6.6230261100687935,41.66666666666666,0.1591564685106277,0.4854753941710463,0.6440626266599909,0.0252986195551105,0.0396760443307757,7.218683701231892,36.4,1.0,00-0035228,K.Murray,38.0,35.0,21.0,0.0,4.0,3.0,162.0,6.04129,0.15898131,0.4473684210526316,0.9761969,0.0,0.6,0.0,0.1052631578947368,4.628571428571429,0.2593225538730621,0.5108356903415042,0.6890843923101988,0.0101010101010101,0.0360936041083099,7.077305311176278,36.0,0.182821287214756,0.4588418397368174,0.6383808679442587,0.0153629316420014,0.0495144555406703,6.387778535542976,36.2
2024_01_TEN_CHI,2024,REG,1,2024-09-08,Sunday,13:00,TEN,17.0,CHI,24.0,Home,7.0,41.0,0.0,2024090802,59512.0,,202409080chi,,401671719,6453.0,7,7,164.0,-198.0,4.0,-108.0,-112.0,43.0,-110.0,-110.0,0,outdoors,grass,67.0,8.0,00-0039152,00-0039918,Will Levis,Caleb Williams,Brian Callahan,Matt Eberflus,Shawn Smith,CHI98,Soldier Field,1.0,00-0039918,C.Williams,34.0,32.0,14.0,0.0,2.0,2.0,93.0,-9.865322,-0.28186634,0.3714285714285714,-16.437521,0.0,0.4375,0.0,0.0588235294117647,2.90625,0.0773821313244601,0.4296296296296296,0.5436507936507935,0.0119047619047619,0.1058612440191387,6.9253968253968266,31.666666666666668,0.0288088076747953,0.3898550724637681,0.5172652719164347,0.0164451827242524,0.09148422608628,6.132736523899315,36.2,1.0,00-0039152,W.Levis,38.0,35.0,19.0,2.0,3.0,3.0,127.0,-15.179805,-0.38922575,0.3846153846153846,3.3793066,0.0,0.5428571428571428,0.0571428571428571,0.0789473684210526,3.628571428571429,0.0135254797836144,0.4658203865100419,0.60926267281106,0.0119047619047619,0.151082251082251,5.874408602150538,28.666666666666668,0.0399740375578403,0.4624379683401335,0.5835879067169389,0.0182034632034632,0.1343001443001443,6.365705767350929,32.8,1.0,00-0039918,C.Williams,34.0,32.0,14.0,0.0,2.0,2.0,93.0,-9.865322,-0.28186634,0.3714285714285714,-16.437521,0.0,0.4375,0.0,0.0588235294117647,2.90625,,,,,,,,,,,,,,,1.0,00-0039152,W.Levis,38.0,35.0,19.0,2.0,3.0,3.0,127.0,-15.179805,-0.38922575,0.3846153846153846,3.3793066,0.0,0.5428571428571428,0.0571428571428571,0.0789473684210526,3.628571428571429,0.0772567093372345,0.4412731970871505,0.5001359751359752,0.0184343434343434,0.1227513227513227,6.649630924630924,39.333333333333336,0.0912419136613607,0.4719067753951474,0.5654951189161715,0.011060606060606,0.1007936507936508,6.974365020943968,33.2
2024_01_NE_CIN,2024,REG,1,2024-09-08,Sunday,13:00,NE,16.0,CIN,10.0,Home,-6.0,26.0,0.0,2024090803,59513.0,,202409080cin,,401671628,6454.0,7,7,295.0,-375.0,8.0,-110.0,-110.0,40.5,-112.0,-108.0,0,outdoors,fieldturf,66.0,5.0,00-0033119,00-0036442,Jacoby Brissett,Joe Burrow,Jerod Mayo,Zac Taylor,Land Clark,CIN00,Paycor Stadium,1.0,00-0036442,J.Burrow,35.0,32.0,21.0,0.0,3.0,5.0,164.0,-2.086835,-0.05491671,0.4210526315789473,-0.07386328,0.0,0.65625,0.0,0.0857142857142857,5.125,0.0586440935730934,0.4723995271867612,0.5960609438870309,0.0345596432552954,0.0910031996988518,6.111296915644743,39.333333333333336,0.1343972370028495,0.4855673758865248,0.6337235228539576,0.0334169453734671,0.0719932241671372,7.367140468227424,38.0,1.0,00-0033119,J.Brissett,29.0,25.0,15.0,0.0,1.0,4.0,121.0,1.3437442,0.046336006,0.5517241379310345,0.8983523,0.0,0.6,0.0,0.0344827586206896,4.84,-0.331752044459184,0.3206966271482401,0.5371141933008058,0.0525007766387076,0.1111347433928079,5.704895564936131,35.0,-0.2806245490908622,0.3396357823302794,0.5803637540757216,0.0438814183641769,0.1020379888928276,6.051508767533108,34.4,1.0,00-0036442,J.Burrow,35.0,32.0,21.0,0.0,3.0,5.0,164.0,-2.086835,-0.05491671,0.4210526315789473,-0.07386328,0.0,0.65625,0.0,0.0857142857142857,5.125,0.2778704762458801,0.5280676373113348,0.7008417508417509,0.0151515151515151,0.0619309606115195,7.901803751803754,43.66666666666666,0.1934914335608482,0.5400481295566122,0.6937596154889388,0.0184356996387071,0.06430789763388,7.008644012628975,44.2,1.0,00-0033119,J.Brissett,29.0,25.0,15.0,0.0,1.0,4.0,121.0,1.3437442,0.046336006,0.5517241379310345,0.8983523,0.0,0.6,0.0,0.0344827586206896,4.84,0.1207229690626263,0.4740802675585283,0.5970285896249415,0.008130081300813,0.0622246831549157,6.078594102954494,43.333333333333336,0.2060204429551959,0.5125183359737135,0.6435432407314867,0.0048780487804878,0.0834132412654984,7.677047766120522,37.6
2024_01_HOU_IND,2024,REG,1,2024-09-08,Sunday,13:00,HOU,29.0,IND,27.0,Home,-2.0,56.0,0.0,2024090804,59514.0,,202409080clt,,401671861,6455.0,7,7,-155.0,130.0,-3.0,-108.0,-112.0,49.0,-112.0,-108.0,1,closed,fieldturf,,,00-0039163,00-0039164,C.J. Stroud,Anthony Richardson,DeMeco Ryans,Shane Steichen,John Hussey,IND00,Lucas Oil Stadium,1.0,00-0039164,A.Richardson,24.0,21.0,9.0,1.0,2.0,3.0,212.0,3.921598,0.15686391,0.4,-10.801822,0.0,0.4285714285714285,0.0476190476190476,0.0833333333333333,10.095238095238097,0.0999998971819877,0.4259737100459597,0.5300387596899224,0.0077519379844961,0.0691572732152442,6.47694295368714,32.666666666666664,0.0748762529343366,0.4357149449818241,0.5550825206301575,0.0093023255813953,0.0738807275655101,6.3895416161732745,34.8,1.0,00-0039163,C.Stroud,38.0,36.0,24.0,0.0,4.0,2.0,234.0,9.828141,0.24570353,0.475,7.5687075,0.0,0.6666666666666666,0.0,0.1052631578947368,6.5,0.3470411449670791,0.4990713013153405,0.683982683982684,0.0,0.021505376344086,9.25974025974026,29.0,0.2605152696371078,0.4910394194446665,0.6467532467532469,0.0,0.018785578747628,7.749783549783549,30.8,1.0,00-0039164,A.Richardson,24.0,21.0,9.0,1.0,2.0,3.0,212.0,3.921598,0.15686391,0.4,-10.801822,0.0,0.4285714285714285,0.0476190476190476,0.0833333333333333,10.095238095238097,0.1637029158882796,0.4626139817629179,0.4823380992430613,0.0121951219512195,0.0756944444444444,6.167788057190917,38.5,0.1637029158882796,0.4626139817629179,0.4823380992430613,0.0121951219512195,0.0756944444444444,6.167788057190917,38.5,1.0,00-0039163,C.Stroud,38.0,36.0,24.0,0.0,4.0,2.0,234.0,9.828141,0.24570353,0.475,7.5687075,0.0,0.6666666666666666,0.0,0.1052631578947368,6.5,0.3470411449670791,0.4990713013153405,0.683982683982684,0.0,0.021505376344086,9.25974025974026,29.0,0.1358389467000961,0.4698412627626389,0.62991822991823,0.0,0.0484152083772577,7.520827320827321,29.6
2024_01_JAX_MIA,2024,REG,1,2024-09-08,Sunday,13:00,JAX,17.0,MIA,20.0,Home,3.0,37.0,0.0,2024090805,59515.0,,202409080mia,,401671849,6456.0,7,7,150.0,-180.0,3.5,-110.0,-110.0,49.5,-112.0,-108.0,0,outdoors,grass,91.0,10.0,00-0036971,00-0036212,Trevor Lawrence,Tua Tagovailoa,Doug Pederson,Mike McDaniel,Craig Wrolstad,MIA00,Hard Rock Stadium,1.0,00-0036212,T.Tagovailoa,41.0,40.0,23.0,0.0,3.0,2.0,338.0,7.4282503,0.16507223,0.4222222222222222,-6.1242127,0.0,0.575,0.0,0.073170731707317,8.45,-0.1067948018511136,0.3861513687600642,0.5470813438293115,0.0486944551985202,0.0378787878787878,5.634641028949974,38.66666666666666,0.0340101882815361,0.4282109677761852,0.6101201513268266,0.0292166731191121,0.0502126528442318,6.582149139787137,36.2,1.0,00-0036971,T.Lawrence,25.0,24.0,12.0,0.0,3.0,1.0,162.0,6.2566466,0.23172766,0.4814814814814814,-0.16978653,0.0,0.5,0.0,0.12,6.75,0.1055418575803438,0.5035121328224778,0.6063999164774357,0.0357058961710124,0.0622605363984674,6.499386631169577,36.66666666666666,0.0002243503928184,0.4589686449292361,0.579294495341007,0.0323326286116983,0.0555580762250453,6.0341774332472,43.0,1.0,00-0036212,T.Tagovailoa,41.0,40.0,23.0,0.0,3.0,2.0,338.0,7.4282503,0.16507223,0.4222222222222222,-6.1242127,0.0,0.575,0.0,0.073170731707317,8.45,-0.1067948018511136,0.3861513687600643,0.5470813438293113,0.0486944551985202,0.0378787878787878,5.634641028949974,38.66666666666666,0.0340101882815361,0.4282109677761851,0.6101201513268266,0.0292166731191121,0.0502126528442317,6.582149139787137,36.2,1.0,00-0036971,T.Lawrence,25.0,24.0,12.0,0.0,3.0,1.0,162.0,6.2566466,0.23172766,0.4814814814814814,-0.16978653,0.0,0.5,0.0,0.12,6.75,-0.0553384150067965,0.4718442932728647,0.5859173126614986,0.0357058961710124,0.0347222222222222,6.301855766972047,43.0,0.0131884142756462,0.471507829882214,0.5953040532860487,0.0323326286116983,0.0469896331738436,6.38017504376094,43.8
2024_01_CAR_NO,2024,REG,1,2024-09-08,Sunday,13:00,CAR,10.0,NO,47.0,Home,37.0,57.0,0.0,2024090806,59516.0,,202409080nor,,401671734,6457.0,7,7,160.0,-192.0,3.5,-108.0,-112.0,41.5,-112.0,-108.0,1,dome,sportturf,,,00-0039150,00-0031280,Bryce Young,Derek Carr,Dave Canales,Dennis Allen,Alan Eck,NOR00,Mercedes-Benz Superdome,1.0,00-0031280,D.Carr,25.0,24.0,19.0,0.0,1.0,1.0,200.0,10.108173,0.3743768,0.4814814814814814,11.674058,0.0,0.7916666666666666,0.0,0.04,8.333333333333334,0.2793231457471847,0.4725480612577387,0.6961710124500823,0.0077519379844961,0.0474747474747474,7.396100540286587,35.666666666666664,0.1857251197099685,0.4895025524057782,0.7096566304585551,0.012058570198105,0.0427888076163938,6.822590081515503,32.6,1.0,00-0039150,B.Young,38.0,34.0,13.0,2.0,4.0,4.0,161.0,-13.479165,-0.32876012,0.3658536585365853,-10.424443,0.0,0.3823529411764705,0.0588235294117647,0.1052631578947368,4.735294117647059,-0.123019739985466,0.3914529914529914,0.5484770484770485,0.0087719298245614,0.1118543292456335,5.285330443225182,33.666666666666664,-0.1975951559841632,0.3958753791011855,0.5274195624195623,0.0052631578947368,0.1071458201387422,5.093235302972145,34.4,1.0,00-0031280,D.Carr,25.0,24.0,19.0,0.0,1.0,1.0,200.0,10.108173,0.3743768,0.4814814814814814,11.674058,0.0,0.7916666666666666,0.0,0.04,8.333333333333334,0.2793231457471847,0.4725480612577388,0.6961710124500823,0.0077519379844961,0.0474747474747474,7.3961005402865885,35.666666666666664,0.1857251197099685,0.4895025524057782,0.7096566304585551,0.012058570198105,0.0427888076163938,6.822590081515503,32.6,1.0,00-0039150,B.Young,38.0,34.0,13.0,2.0,4.0,4.0,161.0,-13.479165,-0.32876012,0.3658536585365853,-10.424443,0.0,0.3823529411764705,0.0588235294117647,0.1052631578947368,4.735294117647059,-0.123019739985466,0.3914529914529914,0.5484770484770484,0.0087719298245614,0.1118543292456335,5.28533044322518,33.666666666666664,-0.1975951559841632,0.3958753791011855,0.5274195624195623,0.0052631578947368,0.1071458201387422,5.093235302972145,34.4
2024_01_MIN_NYG,2024,REG,1,2024-09-08,Sunday,13:00,MIN,28.0,NYG,6.0,Home,-22.0,34.0,0.0,2024090807,59517.0,,202409080nyg,,401671712,6458.0,7,7,-115.0,-105.0,-1.0,-108.0,-112.0,42.5,-108.0,-112.0,0,outdoors,fieldturf,64.0,10.0,00-0034869,00-0035710,Sam Darnold,Daniel Jones,Kevin O'Connell,Brian Daboll,Alex Kemp,NYC01,MetLife Stadium,1.0,00-0035710,D.Jones,49.0,47.0,22.0,2.0,5.0,2.0,186.0,-21.713224,-0.4257495,0.3137254901960784,-7.9398804,0.0,0.4680851063829787,0.0425531914893617,0.1020408163265306,3.9574468085106393,-0.0893932096660137,0.3728283336126473,0.6002831822606541,0.0171932086825703,0.0683797729618163,6.340842720066751,35.0,-0.076575718075037,0.3869860367124388,0.6196356468709106,0.0103159252095422,0.0735860033119735,6.172682170948296,35.0,1.0,00-0034869,S.Darnold,26.0,25.0,19.0,1.0,1.0,1.0,208.0,11.526245,0.4116516,0.5,13.717691,0.0,0.76,0.04,0.0384615384615384,8.32,0.0347309907277425,0.4122936616507067,0.5847733184689705,0.048076923076923,0.0744331065759637,7.900501672240801,37.66666666666666,0.0015391767024993,0.4190202392227016,0.5667370069543983,0.0399572649572649,0.090752367932819,6.873634336677815,36.8,1.0,00-0035710,D.Jones,49.0,47.0,22.0,2.0,5.0,2.0,186.0,-21.713224,-0.4257495,0.3137254901960784,-7.9398804,0.0,0.4680851063829787,0.0425531914893617,0.1020408163265306,3.9574468085106393,-0.2648197561502456,0.393250282569168,0.5935564435564435,0.0246753246753246,0.1597883597883598,4.368281718281718,37.333333333333336,-0.1990887224674224,0.4098632130197617,0.5718481518481519,0.0312337662337662,0.1425396825396825,4.820254745254745,39.8,1.0,00-0034869,S.Darnold,26.0,25.0,19.0,1.0,1.0,1.0,208.0,11.526245,0.4116516,0.5,13.717691,0.0,0.76,0.04,0.0384615384615384,8.32,-0.0206826627254486,0.4819928940568475,0.4957226133696721,0.0482246952835188,0.0837606837606837,6.165209326974033,29.666666666666668,0.1878670871257782,0.5025290697674418,0.5414895120777473,0.0289348171701112,0.0798860398860398,7.702622099680923,27.6
